Here are 60 examples of percentile predicates:

(<, 0.15, 25)
(>=, 0.9, 1000)
(<=, 0.05, -50)
(>, 0.75, 87.5)
(>=, 0.6, 100)
(<, 0.3, 10.2)
(<=, 0.95, 500)
(>, 0.2, -15)
(>=, 0.8, 200)
(<, 0.4, 0)
(<=, 0.1, -100)
(>, 0.65, 75)
(>=, 0.55, 50)
(<, 0.25, -25)
(<=, 0.7, 150)
(>, 0.35, 5)
(>=, 0.85, 300)
(<, 0.45, 20)
(<=, 0.02, -200)
(>, 0.98, 1500)
(>=, 0.5, 60)
(<, 0.12, -10)
(<=, 0.8, 120)
(>, 0.3, -5)
(>=, 0.7, 90)
(<, 0.6, 30)
(<=, 0.2, -30)
(>, 0.9, 500)
(>=, 0.4, 15)
(<, 0.05, -75)
(<=, 0.85, 250)
(>, 0.6, 45)
(>=, 0.75, 110)
(<, 0.35, -2)
(<=, 0.15, -40)
(>, 0.95, 800)
(>=, 0.45, 25)
(<, 0.1, -20)
(<=, 0.65, 80)
(>, 0.25, 2.5)
(>=, 0.92, 600)
(<, 0.55, 12)
(<=, 0.08, -80)
(>, 0.88, 400)
(>=, 0.3, 7.5)
(<, 0.7, 50)
(<=, 0.4, 5)
(>, 0.8, 150)
(>=, 0.2, -10)
(<, 0.9, 300)
(<=, 0.6, 40)
(>, 0.15, -15)
(>=, 0.95, 1000)
(<, 0.5, 10)
(<=, 0.25, -20)
(>, 0.85, 200)
(>=, 0.35, 0)
(<, 0.75, 75)
(<=, 0.1, -50)
(>, 0.99, 2000)
(>=, 0.65, 60)
