Here are 60 examples of percentile predicates, each on a new line:

(>=, 0.2, 40)
(<=, 0.5, 100)
(<, 0.055, -7)
(>, 0.8, 87.3)
(>=, 0.35, -20)
(<=, 0.75, 1000)
(<, 0.01, -100)
(>, 0.95, 500)
(>=, 0.6, 10)
(<=, 0.4, -5)
(<, 0.1, 1000)
(>, 0.7, -50)
(>=, 0.25, 100)
(<=, 0.9, 200)
(<, 0.03, -200)
(>, 0.85, 300)
(>=, 0.45, 50)
(<=, 0.65, -25)
(<, 0.08, 750)
(>, 0.92, -75)
(>=, 0.3, 125)
(<=, 0.8, 150)
(<, 0.05, -150)
(>, 0.9, 250)
(>=, 0.55, 75)
(<=, 0.7, -100)
(<, 0.12, 600)
(>, 0.88, -125)
(>=, 0.4, 200)
(<=, 0.6, -50)
(<, 0.15, 500)
(>, 0.85, -175)
(>=, 0.65, 125)
(<=, 0.35, -75)
(<, 0.2, 400)
(>, 0.8, -225)
(>=, 0.7, 150)
(<=, 0.3, -125)
(<, 0.25, 300)
(>, 0.75, -275)
(>=, 0.5, 100)
(<=, 0.5, -100)
(<, 0.3, 200)
(>, 0.7, -300)
(>=, 0.45, 75)
(<=, 0.55, -75)
(<, 0.35, 150)
(>, 0.65, -350)
(>=, 0.6, 125)
(<=, 0.4, -125)
(<, 0.4, 100)
(>, 0.6, -400)
(>=, 0.55, 50)
(<=, 0.45, -50)
(<, 0.45, 75)
(>, 0.55, -450)
