Certainly! Here's a list of 180 examples of percentile predicates in the specified format:

```
(>=, 0.2, 40)
(<=, 0.5, 100)
(<, 0.055, -7)
(>, 0.8, 87.3)
(>=, 0.3, 22)
(<=, 0.7, 150)
(<, 0.1, 0)
(>, 0.9, 200)
(>=, 0.25, -5)
(<=, 0.45, 75)
(<, 0.02, -100)
(>, 0.95, 300)
(>=, 0.15, 10)
(<=, 0.55, 120)
(<, 0.065, 5)
(>, 0.85, 90)
(>=, 0.35, 30)
(<=, 0.65, 140)
(<, 0.075, 20)
(>, 0.92, 250)
(>=, 0.1, -20)
(<=, 0.4, 60)
(<, 0.03, -50)
(>, 0.88, 180)
(>=, 0.27, 27)
(<=, 0.47, 77)
(<, 0.08, 8)
(>, 0.82, 82)
(>=, 0.33, -33)
(<=, 0.63, 133)
(<, 0.013, -13)
(>, 0.89, 189)
(>=, 0.21, 21)
(<=, 0.51, 101)
(<, 0.011, -11)
(>, 0.93, 193)
(>=, 0.18, 18)
(<=, 0.48, 78)
(<, 0.06, 6)
(>, 0.81, 81)
(>=, 0.31, 31)
(<=, 0.61, 131)
(<, 0.09, 9)
(>, 0.91, 191)
(>=, 0.23, 23)
(<=, 0.49, 79)
(<, 0.04, 4)
(>, 0.84, 84)
(>=, 0.29, 29)
(<=, 0.59, 129)
(<, 0.025, -25)
(>, 0.87, 177)
(>=, 0.17, 17)
(<=, 0.57, 117)
(<, 0.07, 7)
(>, 0.97, 197)
(>=, 0.12, 12)
(<=, 0.42, 72)
(<, 0.05, 3)
(>, 0.9, 190)
(>=, 0.22, 24)
(<=, 0.52, 102)
(<, 0.55, 100)
(>=, 0.3, 50)
(>, 0.95, -5)
(<=, 0.1, 30)
(>=, 0.8, 70)
(>, 0.25, 60)
(<, 0.4, 90)
(<=, 0.15, 20)
(>=, 0.75, 85)
(>, 0.05, -10)
(>=, 0.2, 40)
(<=, 0.5, 100)
(>, 0.02, -7)
(<, 0.9, 87.3)
(<=, 0.65, 55)
(>, 0.85, 93)
(>=, 0.45, 65)
(<, 0.7, 80)
(>, 0.12, 25)
(<=, 0.35, 45)
(>=, 0.1, 15)
(>, 0.6, 75)
(<, 0.25, 35)
(>=, 0.05, 5)
(<=, 0.9, 95)
(>, 0.3, 65)
(<, 0.8, 120)
(>=, 0.55, 110)
(>, 0.1, 10)
(<=, 0.7, 90)
(>=, 0.4, 60)
(>, 0.2, 50)
(<, 0.15, 40)
(<=, 0.85, 85)
(>=, 0.05, -15)
(>, 0.25, -5)
(<, 0.95, 105)
(<=, 0.05, -20)
(>=, 0.35, 70)
(>, 0.65, 80)
(<, 0.45, 72)
(<=, 0.3, 62)
(>=, 0.75, 82)
(>, 0.55, 92)
(<, 0.85, 102)
(<=, 0.4, 12)
(>=, 0.2, 22)
(>, 0.1, 32)
(<, 0.5, 42)
(<=, 0.9, 52)
(>, 0.8, 62)
(>=, 0.25, 72)
(<=, 0.15, 82)
(<, 0.35, 92)
(>, 0.05, 2)
(>=, 0.65, 12)
(<=, 0.55, 22)
(<, 0.45, 32)
(>, 0.75, 42)
(>=, 0.05, 52)
(<=, 0.95, 62)
(<, 0.85, 72)
(>, 0.15, 82)
(>=, 0.25, 92)
(<=, 0.35, 15)
(<, 0.75, 25)
(>, 0.85, 35)
(>=, 0.95, 45)
(<=, 0.1, 55)
(<, 0.2, 65)
(>, 0.3, 75)
(>=, 0.4, 85)
(<=, 0.5, 95)
(<, 0.6, 105)
(>, 0.7, 115)
(>=, 0.8, 125)
(<=, 0.9, 135)
(<, 0.01, 145)
(>, 0.11, 155)
(>=, 0.21, 165)
(<=, 0.31, 175)
(<, 0.41, 185)
(>, 0.51, 195)
(>=, 0.61, 205)
(<=, 0.71, 215)
(<, 0.81, 225)
(>, 0.91, 235)
(>=, 0.01, 245)
(<=, 0.11, 255)
(<, 0.21, 265)
(>, 0.31, 275)
(>=, 0.41, 285)
(<=, 0.51, 295)
(<, 0.61, 305)
(>, 0.71, 315)
(>=, 0.81, 325)
(<=, 0.91, 335)
(<, 0.02, 345)
(>, 0.12, 355)
(>=, 0.22, 365)
(<=, 0.32, 375)
(<, 0.42, 385)
(>, 0.52, 395)
(>=, 0.62, 405)
(<=, 0.72, 415)
(<, 0.82, 425)
(>, 0.92, 435)
(>=, 0.02, 445)
(<=, 0.12, 455)
(<, 0.22, 465)
(>, 0.32, 475)
(>=, 0.42, 485)
(<=, 0.52, 495)
(<, 0.62, 505)
(>, 0.72, 515)
(>=, 0.82, 525)
(<=, 0.92, 535)
(<, 0.03, 545)
```

These predicates can be used to filter datasets based on the distribution characteristics of their columns, matching specific criteria like the examples given.
