# claude-3-opus-20240229
(<, 0.15, 25)
(>=, 0.9, 1000)
(<=, 0.05, -50)
(>, 0.75, 87.5)
(>=, 0.6, 100)
(<, 0.3, 10.2)
(<=, 0.95, 500)
(>, 0.2, -15)
(>=, 0.8, 200)
(<, 0.4, 0)
(<=, 0.1, -100)
(>, 0.65, 75)
(>=, 0.55, 50)
(<, 0.25, -25)
(<=, 0.7, 150)
(>, 0.35, 5)
(>=, 0.85, 300)
(<, 0.45, 20)
(<=, 0.02, -200)
(>, 0.98, 1500)
(>=, 0.5, 60)
(<, 0.12, -10)
(<=, 0.8, 120)
(>, 0.3, -5)
(>=, 0.7, 90)
(<, 0.6, 30)
(<=, 0.2, -30)
(>, 0.9, 500)
(>=, 0.4, 15)
(<, 0.05, -75)
(<=, 0.85, 250)
(>, 0.6, 45)
(>=, 0.75, 110)
(<, 0.35, -2)
(<=, 0.15, -40)
(>, 0.95, 800)
(>=, 0.45, 25)
(<, 0.1, -20)
(<=, 0.65, 80)
(>, 0.25, 2.5)
(>=, 0.92, 600)
(<, 0.55, 12)
(<=, 0.08, -80)
(>, 0.88, 400)
(>=, 0.3, 7.5)
(<, 0.7, 50)
(<=, 0.4, 5)
(>, 0.8, 150)
(>=, 0.2, -10)
(<, 0.9, 300)
(<=, 0.6, 40)
(>, 0.15, -15)
(>=, 0.95, 1000)
(<, 0.5, 10)
(<=, 0.25, -20)
(>, 0.85, 200)
(>=, 0.35, 0)
(<, 0.75, 75)
(<=, 0.1, -50)
(>, 0.99, 2000)
(>=, 0.65, 60)

# claude-3-sonnet-20240229
(>=, 0.2, 40)
(<=, 0.5, 100)
(<, 0.055, -7)
(>, 0.8, 87.3)
(>=, 0.35, -20)
(<=, 0.75, 1000)
(<, 0.01, -100)
(>, 0.95, 500)
(>=, 0.6, 10)
(<=, 0.4, -5)
(<, 0.1, 1000)
(>, 0.7, -50)
(>=, 0.25, 100)
(<=, 0.9, 200)
(<, 0.03, -200)
(>, 0.85, 300)
(>=, 0.45, 50)
(<=, 0.65, -25)
(<, 0.08, 750)
(>, 0.92, -75)
(>=, 0.3, 125)
(<=, 0.8, 150)
(<, 0.05, -150)
(>, 0.9, 250)
(>=, 0.55, 75)
(<=, 0.7, -100)
(<, 0.12, 600)
(>, 0.88, -125)
(>=, 0.4, 200)
(<=, 0.6, -50)
(<, 0.15, 500)
(>, 0.85, -175)
(>=, 0.65, 125)
(<=, 0.35, -75)
(<, 0.2, 400)
(>, 0.8, -225)
(>=, 0.7, 150)
(<=, 0.3, -125)
(<, 0.25, 300)
(>, 0.75, -275)
(>=, 0.5, 100)
(<=, 0.5, -100)
(<, 0.3, 200)
(>, 0.7, -300)
(>=, 0.45, 75)
(<=, 0.55, -75)
(<, 0.35, 150)
(>, 0.65, -350)
(>=, 0.6, 125)
(<=, 0.4, -125)
(<, 0.4, 100)
(>, 0.6, -400)
(>=, 0.55, 50)
(<=, 0.45, -50)
(<, 0.45, 75)
(>, 0.55, -450)

# command-r-plus
(<=, 0.35, 750)
(>, 0.12, -30)
(>=, 0.6, 150)
(<, 0.48, 89.6)
(<=, 0.23, -17.5)
(>, 0.55, 300)
(>=, 0.18, 46.2)
(<, 0.7, 1000)
(<=, 0.09, -5.3)
(>, 0.34, 78.6)
(>=, 0.52, 210)
(<, 0.67, -120)
(<=, 0.82, 3450)
(>, 0.41, 98.7)
(>=, 0.06, -2.1)
(<, 0.29, 56.4)
(<=, 0.78, 1340)
(>, 0.91, 4500)
(>=, 0.37, 672.3)
(<, 0.5, 123)
(<=, 0.44, 78.1)
(>, 0.86, 2300)
(>=, 0.25, 49.7)
(<, 0.15, -21.6)
(<=, 0.63, 175)
(>, 0.74, 1500)
(>=, 0.89, 3800)
(<, 0.31, 62.5)
(<=, 0.58, 190)
(>, 0.08, -3.7)
(>=, 0.79, 1600)
(<, 0.92, 4800)
(<=, 0.47, 80.3)
(>, 0.27, 50)
(>=, 0.1, -6.2)
(<, 0.61, 200)
(<=, 0.33, 65)
(>, 0.81, 2500)
(>=, 0.56, 320)
(<, 0.07, -4.1)
(<=, 0.9, 4200)
(>, 0.65, 800)
(>=, 0.21, 40)
(<, 0.76, 1700)
(<=, 0.42, 90)
(>, 0.53, 250)
(>=, 0.84, 3000)
